Accident_Index,Date,Time,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Speed_limit,Junction_Detail,Urban_or_Rural_Area,Latitude,Longitude
A040319,20/04/2023,22:56,3,2,0,9,6,7,60,0,2,51.79636449120858,2.6578290746578905
A040320,28/11/2023,06:05,3,4,0,8,2,7,50,9,1,50.2176077917043,0.5405265839815941
A040321,29/08/2023,21:49,3,2,1,4,6,1,70,8,2,51.04448427453114,-2.0698706325883043
A040322,30/04/2023,06:06,3,2,1,6,5,4,50,1,2,51.07885551185221,2.5322505477987067
A040323,03/07/2023,04:07,3,2,1,5,6,1,30,5,1,53.46555474257511,-2.924839982243397
A040324,09/11/2023,12:26,3,5,0,3,5,4,60,1,1,53.08722365505252,-2.47977120432978
A040325,20/08/2023,08:26,3,4,2,3,2,7,70,6,1,51.402178114711354,-2.0718797658872714
A040326,22/01/2023,18:05,3,5,0,7,1,4,70,1,2,51.10115261386113,2.6506894782598542
A040327,28/11/2023,02:26,1,2,2,4,4,1,20,1,1,49.6592567504246,2.728364461249352
A040328,11/03/2023,23:59,3,3,0,5,4,1,50,7,1,52.87857405122268,-1.18703530599969
A040329,11/06/2023,12:05,3,1,1,2,3,7,50,3,1,51.63908936120285,0.09308697250308481
A040330,09/09/2023,13:09,1,2,3,1,6,6,70,0,2,49.753623245412726,-1.5044433706950346
A040331,18/12/2023,01:56,3,5,3,5,6,6,40,6,2,52.347312274643656,-0.7064934509220379
A040332,10/12/2023,14:39,3,5,1,2,4,1,40,3,2,52.134060660102485,-0.9968197156541224
A040333,20/12/2023,21:08,2,3,2,6,6,4,70,3,2,52.82241330197007,-0.6442778048938463
A040334,22/01/2023,17:32,1,1,2,3,5,4,30,6,1,51.95091956242335,-0.43238798330650086
A040335,25/01/2023,05:15,2,1,1,2,7,7,40,5,1,50.52688836417329,-0.5058445891957714
A040336,28/10/2023,00:42,3,4,0,7,7,4,20,2,2,53.01744081931213,-1.36610719483962
A040337,17/06/2023,18:30,3,4,3,7,6,1,50,0,2,51.477029515193585,2.7747703554431573
A040338,04/05/2023,20:50,3,1,0,5,5,5,30,6,2,51.78715697786698,0.07921665516001272
A040339,22/10/2023,04:48,3,3,0,6,6,5,60,5,1,49.724060036662536,1.1168303833703388
A040340,26/01/2023,14:37,3,2,1,4,1,7,50,5,1,51.4479164319276,0.1030990798550416
A040341,02/07/2023,04:42,3,1,2,8,2,1,60,0,1,52.932580375318146,1.211219759960056
A040342,25/06/2023,03:37,3,4,0,5,7,4,70,5,1,51.32188938496519,1.2603181335982332
A040343,31/10/2023,03:30,3,2,1,6,2,7,50,1,1,52.42738667934457,1.852535647691536
A040344,09/08/2023,21:44,3,4,0,9,6,6,30,5,1,51.24326000109785,-0.3240053759533418
A040345,25/04/2023,17:53,3,1,0,5,3,7,40,2,1,51.22730617739036,2.250442917216134
A040346,13/07/2023,11:57,3,5,0,5,4,6,50,7,2,53.215740299360604,0.5030534036464053
A040347,25/03/2023,05:28,3,4,0,2,4,4,20,9,1,50.56395748639517,2.768666366488375
A040348,31/01/2023,21:18,3,4,1,6,7,4,40,9,2,51.257016743937875,2.3340915755247384
A040349,13/03/2023,16:08,3,3,2,4,2,5,50,6,2,51.114319929321695,1.4680929492950683
A040350,01/03/2023,01:05,3,3,2,7,4,6,40,6,2,52.54073745667788,-2.2556331287704148
A040351,26/04/2023,17:35,2,5,1,3,3,1,40,9,1,51.06749826987299,-1.837828835503431
A040352,03/04/2023,12:01,3,3,1,2,4,5,40,5,1,53.313828388161454,-0.9019441153351185
A040353,30/08/2023,20:21,3,1,0,9,7,6,40,9,1,52.43015939569845,1.9689598869035065
A040354,09/08/2023,13:26,2,3,1,1,4,1,60,9,1,50.475840407637016,0.8832536253046844
A040355,15/11/2023,02:05,2,4,2,6,5,6,30,6,2,52.47042993893241,-2.9821772852023885
A040356,14/05/2023,05:24,3,1,2,4,1,4,40,6,1,51.39526034334546,-2.8601429248334944
A040357,21/04/2023,13:03,3,2,1,3,7,7,70,2,1,51.20964140851668,0.18336823600148086
A040358,02/08/2023,01:03,3,1,0,3,1,5,20,6,1,49.60387714808053,0.22835163048234772
A040359,23/01/2023,03:31,3,2,2,6,5,1,40,6,2,51.79998560959128,-1.1173511919139258
A040360,21/04/2023,11:16,3,5,1,6,3,1,20,6,1,51.96651314577506,-0.5031689618871752
A040361,20/06/2023,23:18,2,2,3,4,7,7,60,5,2,52.80043924907416,0.10296568239644141
A040362,10/10/2023,12:07,3,2,0,7,1,7,70,8,1,49.832137722557306,1.3727594827599714
A040363,15/11/2023,14:13,3,5,0,4,3,6,60,5,1,49.938153266650964,0.018331193116834038
A040364,15/03/2023,01:15,3,2,3,3,5,4,60,3,2,52.590699189147,0.7325027140310137
A040365,27/03/2023,19:50,3,5,1,4,4,6,40,5,1,49.59398138638932,1.31323133812595
A040366,13/05/2023,20:54,3,4,3,5,2,7,30,1,1,50.96340036476223,0.9881233357555722
A040367,20/05/2023,07:31,3,5,2,7,7,1,30,3,1,51.01032993764259,-0.0405306793382704
A040368,26/12/2023,04:09,3,5,1,4,6,6,20,5,2,50.389027391322955,-0.31184345979635386
A040369,23/09/2023,02:54,3,2,2,6,7,1,70,8,1,51.67212255693826,-0.6206401350844585
A040370,25/07/2023,20:24,3,3,2,3,6,5,20,8,2,52.957177403858616,-2.4025288197116454
A040371,30/11/2023,02:03,2,5,0,1,2,7,40,1,1,51.80960950073697,-0.8190342766768762
A040372,01/03/2023,09:06,3,5,3,8,4,7,70,9,1,51.42732083753036,-0.9753008114735277
A040373,02/07/2023,06:22,3,1,1,9,1,7,40,9,1,51.22094601460613,-0.428969674229429
A040374,17/07/2023,08:21,3,1,1,6,5,1,70,6,1,51.1750799191205,-2.797958514235852
A040375,08/05/2023,23:11,3,3,2,5,1,7,60,7,2,49.761214939744804,2.1498525843085656
A040376,07/09/2023,17:37,3,1,0,8,7,7,70,3,2,52.918848190930646,-0.09315842190282667
A040377,02/11/2023,13:48,1,5,3,8,2,6,20,9,2,50.53968612270749,1.924843996317406
A040378,28/07/2023,14:40,3,5,1,5,2,7,40,3,1,53.47100483055831,1.0008178199565383
A040379,10/10/2023,04:12,3,4,2,5,4,6,30,2,1,50.010723862261045,-1.599559668612136
A040380,20/01/2023,18:45,3,1,1,1,1,5,30,1,1,52.30506322735534,2.481733937735505
A040381,09/06/2023,11:15,3,1,1,4,6,4,40,7,1,52.55770589648852,2.769885385067505
A040382,29/10/2023,04:45,1,1,2,3,2,7,30,3,2,51.88545330755611,0.8833912049454368
A040383,03/09/2023,11:30,3,5,1,2,2,1,70,1,1,50.35311421913794,-0.8609581604809365
A040384,01/11/2023,15:23,3,4,2,3,7,4,30,1,1,50.167100358319225,0.6892008536562481
A040385,18/02/2023,22:07,3,3,2,7,3,7,50,9,2,51.53313897238678,2.6779487939262983
A040386,08/06/2023,12:19,3,3,3,9,7,6,40,6,1,50.24300483568951,-0.551822058243899
A040387,18/08/2023,05:31,3,1,3,6,4,5,20,7,2,50.09561417710891,-2.309107582594429
A040388,19/11/2023,17:57,3,3,0,8,6,6,40,3,2,50.72542452431244,0.3749297178349785
A040389,20/10/2023,00:50,2,3,0,4,1,1,70,0,2,49.93843424609618,0.4999121945157824
A040390,31/07/2023,19:31,3,2,0,7,1,7,50,9,1,51.69721722050028,2.4780212431741737
A040391,10/04/2023,05:55,3,3,1,2,7,5,50,6,2,51.171697491858914,2.7063506328465228
A040392,17/03/2023,10:21,3,2,2,3,4,5,50,9,1,50.698664797305064,2.6602492021832966
A040393,27/04/2023,19:58,2,4,0,7,1,6,40,8,2,51.80849373667112,-1.8548464782871203
A040394,07/02/2023,05:01,3,3,0,9,3,7,60,7,2,49.776579452869676,0.014591096801479603
A040395,02/02/2023,06:36,3,4,1,1,1,5,20,8,1,53.46171694403132,-0.37675299196687406
A040396,28/12/2023,15:48,3,5,2,2,7,7,50,5,2,49.86050697479495,2.8921582035101214
A040397,03/04/2023,10:11,3,1,0,5,6,6,60,9,1,50.62566824990488,-1.9299520421705714
A040398,21/08/2023,10:39,3,2,0,3,3,7,20,8,2,51.223232722465994,-0.5650613645555097
A040399,01/03/2023,10:57,3,2,1,5,7,5,20,9,1,49.886625598686976,-2.3659431806903632
A040400,09/05/2023,18:19,3,2,2,7,7,4,60,3,2,52.72484469252423,-1.0035141012221471
A040401,25/07/2023,00:41,3,2,1,3,6,7,30,9,1,53.1536468343493,-0.02782250570595704
A040402,30/11/2023,04:35,3,4,0,3,1,7,60,0,1,51.052329545512784,2.244738989537202
A040403,11/04/2023,10:33,3,5,2,4,5,5,70,3,1,53.14807913146423,0.8339629928274187
A040404,30/08/2023,17:53,3,1,2,4,4,6,70,2,1,50.236357717763866,2.2595720397487757
A040405,18/06/2023,05:05,3,3,1,3,4,5,20,5,2,50.77866046615086,-2.9908726178449156
A040406,31/03/2023,23:31,1,1,1,1,4,5,50,0,1,51.362760196024006,2.760722601367545
A040407,04/01/2023,16:33,3,5,1,9,4,4,20,8,1,49.98108898459095,1.3026560838967813
A040408,16/01/2023,04:08,3,1,2,6,7,6,60,2,1,51.002517208740144,-0.21377951040999746
A040409,09/09/2023,18:44,3,5,1,9,7,7,60,6,2,51.44559361216823,-1.3232969765234255
A040410,14/05/2023,18:03,3,2,3,3,5,7,20,7,2,52.81653023074784,0.656153625062237
A040411,22/05/2023,23:28,3,1,1,1,7,7,30,6,1,52.56319993976328,1.8399282145649614
A040412,31/07/2023,07:40,3,3,1,1,2,7,70,8,1,50.6514558320505,-2.126317885975969
A040413,29/11/2023,15:12,2,4,3,9,2,4,20,6,1,51.88374549614025,-3.0146456707092573
A040414,25/05/2023,11:48,3,2,1,5,1,1,30,1,1,49.816665933437896,1.7917598969091952
A040415,14/05/2023,21:14,3,5,1,9,6,1,60,9,1,51.10059803618236,-1.7788544923642753
A040416,03/11/2023,10:06,3,5,0,5,5,1,50,6,1,51.973349712981715,0.37987365142257057
A040417,17/06/2023,17:08,3,5,1,6,3,1,70,2,2,50.12406647494488,-1.9118130040622994
A040418,01/05/2023,05:07,3,1,3,3,5,1,40,7,2,51.69385310720548,-1.0378593661970759
A040419,24/03/2023,03:35,3,3,3,7,7,6,20,8,1,51.00846387685117,-2.404061589733168
A040420,12/03/2023,16:59,3,1,1,8,2,4,30,1,2,50.51361398993337,1.5546573781028479
A040421,19/03/2023,20:02,3,3,3,1,5,1,30,5,2,52.92926310247212,-2.314252341352166
A040422,14/06/2023,08:08,3,2,0,3,4,5,50,7,1,51.3309421265928,-1.6170499838641519
A040423,15/12/2023,23:44,3,1,2,1,4,6,70,1,2,50.23263658995037,-1.656381177616993
A040424,24/09/2023,12:16,2,1,1,5,6,1,20,5,2,50.936166956509645,-2.809405508602708
A040425,11/06/2023,17:08,1,5,1,8,1,1,70,1,2,51.798153147766435,-1.539597031102271
A040426,09/07/2023,14:59,3,2,0,6,3,7,40,9,2,53.02585971472196,-0.6149059000471503
A040427,27/10/2023,17:28,3,4,3,6,3,6,50,8,1,51.8384351693894,-2.999125651342713
A040428,08/07/2023,03:35,3,4,1,6,6,1,20,8,2,52.10845997258449,1.1201726404092587
A040429,31/07/2023,10:36,3,3,0,2,6,4,40,6,1,52.443476387679546,2.7135358506344214
A040430,22/08/2023,06:05,3,5,0,9,2,5,60,1,2,50.683266022491836,0.30347831116668333
A040431,06/07/2023,12:47,2,2,0,9,5,5,30,3,2,50.23239635649351,-2.4700965086838225
A040432,19/05/2023,07:15,3,1,0,6,3,5,50,6,1,49.822443051116224,0.027140723684018292
A040433,07/08/2023,12:09,3,1,2,8,1,6,30,6,2,52.24208653808938,-0.06601765413828123
A040434,02/01/2023,20:51,2,4,1,6,7,7,50,6,1,53.1760105722503,2.147289510011348
A040435,15/09/2023,16:33,3,4,2,4,5,5,60,5,2,51.99263813703711,-0.5678617556007522
A040436,24/09/2023,05:23,3,1,0,3,4,5,60,7,2,52.24789532092128,-0.3219761173775598
A040437,25/04/2023,06:41,3,1,2,2,5,1,40,0,2,50.75320539062669,2.877927583966987
A040438,23/10/2023,21:48,3,5,1,1,4,5,30,3,1,50.186702500578065,-0.38869652617741657
A040439,01/10/2023,12:11,3,2,3,1,3,4,50,9,2,52.38604205013641,0.16282491925587647
A040440,31/12/2023,05:06,3,3,1,7,1,1,60,1,2,49.94483701931285,-1.557419054258118
A040441,31/05/2023,03:40,2,2,1,5,6,1,20,9,2,50.70431205136142,2.18623022460388
A040442,19/10/2023,00:44,2,4,2,1,6,4,20,5,2,49.89126207318019,2.248261561624289
A040443,12/12/2023,21:10,3,3,0,2,2,1,50,8,1,50.10120028097026,1.5296810257112798
A040444,27/01/2023,19:15,1,1,1,5,4,6,20,6,1,49.72523820292116,2.1674961648990467
A040445,29/11/2023,22:08,3,4,2,5,5,5,60,7,2,49.863349128764185,2.2260709610919798
A040446,07/06/2023,23:40,3,1,0,5,3,7,50,0,2,52.112866135549716,-0.9100826090938469
A040447,21/06/2023,11:42,3,1,1,1,5,7,20,5,1,51.60675628970287,-1.5134820823993191
A040448,06/01/2023,20:07,3,4,3,9,4,6,50,1,2,53.4437913296114,-0.8253778555261401
A040449,10/09/2023,10:00,3,5,1,1,4,1,40,1,1,52.94038202595557,-1.011949616850861
A040450,01/01/2023,16:43,3,4,2,4,2,6,30,1,1,53.2676540476397,-1.124997473801141
A040451,26/07/2023,22:35,3,1,0,2,5,5,60,3,2,50.09348968303354,-2.18095002790411
A040452,10/11/2023,13:11,3,2,1,5,1,6,70,8,1,50.440078825859786,-0.5616725120955953
A040453,25/08/2023,07:55,3,2,2,4,5,7,50,0,2,52.921716212471125,0.7999640531337119
A040454,06/01/2023,06:55,3,1,2,3,2,4,60,7,1,53.020513880670315,1.6453580695721564
A040455,23/11/2023,05:44,3,3,0,4,2,4,30,0,1,51.13430002034482,-1.248229214025501
A040456,01/03/2023,08:10,3,1,0,5,4,5,50,5,2,50.51573753616648,-0.5500266182849253
A040457,14/05/2023,02:27,3,2,0,8,3,6,30,7,2,49.8397947744825,-1.4174081366008053
A040458,05/09/2023,17:31,2,1,2,1,4,1,30,7,1,50.97273551828752,-0.863983197672875
A040459,02/10/2023,07:28,3,1,2,4,7,6,40,9,1,50.80240007038084,-2.8421531534782143
A040460,16/08/2023,20:25,1,2,2,9,3,7,40,2,2,52.840302241295184,-2.666339359153002
A040461,24/10/2023,09:41,3,3,1,2,5,7,30,3,2,49.5734280042252,0.7500666359463125
A040462,24/07/2023,05:56,3,2,1,2,6,1,40,7,2,52.81496776553749,0.03229271634807293
A040463,16/04/2023,04:14,3,5,1,1,3,5,60,1,1,51.83176604374048,2.4438167312125043
A040464,07/09/2023,04:55,3,5,3,1,6,7,20,8,2,50.409298128276035,-1.398933211410458
A040465,26/08/2023,08:45,3,4,1,2,3,6,70,2,1,50.427286586970624,1.5101521843911407
A040466,30/05/2023,15:25,3,2,0,8,1,6,20,2,1,52.29579389320565,-2.946996208914229
A040467,07/06/2023,07:20,2,3,2,8,1,4,70,0,2,51.07847879630394,-1.9668091097069471
A040468,26/07/2023,01:43,3,3,3,6,1,7,50,8,1,51.54585732040508,0.4786349457821856
A040469,17/06/2023,01:14,3,3,2,9,1,4,70,0,1,50.618107605487225,1.7972807143773255
A040470,22/06/2023,15:06,3,5,2,1,5,4,60,9,1,53.49398563760415,-0.4915108140302088
A040471,03/02/2023,17:17,3,2,0,6,7,5,70,7,2,49.79634992426506,1.0213263127979517
A040472,03/05/2023,01:38,2,1,3,6,3,1,70,7,1,52.99680485559221,0.6865520953583909
A040473,07/10/2023,10:19,2,4,2,2,3,6,40,2,1,52.81005621086589,0.8480636787000476
A040474,20/03/2023,09:16,3,1,1,2,2,7,30,5,2,52.56848986403291,1.3420556662799439
A040475,28/08/2023,04:16,2,4,2,1,7,7,60,8,2,51.254801528075554,-2.920905367784004
A040476,26/08/2023,14:50,3,4,2,7,2,5,70,9,2,50.51392836755008,1.730622404819814
A040477,08/09/2023,11:53,3,3,2,2,1,6,20,5,2,51.53126650428245,-0.7495193336941094
A040478,19/01/2023,23:15,3,2,1,5,2,6,40,9,2,50.368133938346716,2.7335830945274515
A040479,15/07/2023,20:56,3,5,0,8,3,6,60,5,2,53.0218924357356,2.13418978546945
A040480,26/05/2023,16:24,2,5,2,5,3,4,30,1,1,49.672787839946125,-0.45360741060550624
A040481,09/07/2023,18:44,3,2,2,9,6,1,30,5,2,49.76221293724689,-2.9951549644386053
A040482,23/08/2023,06:20,3,1,1,6,6,4,40,1,2,51.12859377649593,2.3934722579858483
A040483,18/05/2023,22:04,2,5,0,8,4,4,60,6,2,51.558672973325116,-1.7633233382258073
A040484,29/11/2023,16:05,3,3,3,1,1,1,70,7,1,51.34877341369973,2.02483861370512
A040485,14/01/2023,03:34,3,4,2,6,5,4,60,0,2,53.152942564285546,2.7105655141264884
A040486,27/03/2023,09:42,1,4,2,8,5,4,50,7,2,52.04338794375086,-1.6949583040447038
A040487,17/09/2023,10:11,3,5,2,6,6,4,70,9,2,51.14894370423167,0.23568242504467438
A040488,11/09/2023,05:57,3,1,0,4,3,5,40,9,2,50.647333389414335,-1.250493837364993
A040489,24/12/2023,15:30,3,2,3,8,5,1,40,5,2,50.85525809841314,-0.6135812431101074
A040490,03/03/2023,05:52,3,4,1,3,2,6,70,0,1,51.81012578842643,1.8633473680926342
A040491,12/03/2023,13:08,3,3,2,2,3,6,50,8,2,49.82558945217899,1.0462157145980275
A040492,08/06/2023,11:27,2,4,0,3,3,4,20,7,1,51.25035252220719,-2.5939370379628497
A040493,25/05/2023,04:32,3,4,0,7,2,6,60,8,2,51.16589640966746,-1.3599868350356439
A040494,01/05/2023,14:43,3,3,0,7,3,7,50,1,2,52.97613670938395,0.13178317093860067
A040495,27/05/2023,22:49,2,3,3,7,2,1,30,3,2,52.133293517293076,-0.054314027931368886
A040496,21/09/2023,20:25,3,1,2,9,1,6,70,7,1,51.23728125367649,-3.064807253110254
A040497,30/12/2023,09:39,3,3,1,7,6,5,70,3,1,49.67200584770688,2.6908254569107375
A040498,12/03/2023,03:58,1,4,1,9,2,7,70,7,1,52.87623220614726,-0.3657565145658065
A040499,01/01/2023,15:30,3,2,1,4,5,4,20,5,2,52.47928449210782,-3.0962394560245516
A040500,20/05/2023,02:39,2,3,1,3,3,7,60,3,2,53.31478536189139,2.725348869542253
A040501,08/08/2023,17:10,2,1,1,9,5,1,50,8,2,52.16647309714756,1.0077058002992039
A040502,14/05/2023,10:03,2,4,3,9,3,5,50,0,2,52.49229955400938,1.4997339710776125
A040503,05/08/2023,16:59,3,4,0,7,1,6,60,2,2,51.75000809486817,1.5284215510676051
A040504,26/05/2023,03:29,3,5,3,8,6,5,30,8,2,50.37336180228008,-1.8216755340975936
A040505,12/01/2023,12:46,3,2,0,5,5,1,40,9,2,49.576996460128456,-2.0416907361365944
A040506,30/05/2023,14:49,3,2,3,7,5,7,60,6,1,49.595115526878104,-0.6027575060212781
A040507,02/03/2023,14:50,3,5,3,2,4,6,40,8,2,50.42623173737241,-1.165636344794562
A040508,18/09/2023,17:23,3,2,2,1,2,1,30,6,2,50.526016695856406,-2.273973839109945
A040509,30/07/2023,11:36,3,4,2,1,5,6,40,7,2,52.20332990058933,2.539801352086879
A040510,16/09/2023,01:20,3,2,3,7,7,6,60,5,1,53.30703324144056,0.8954246466375132
A040511,04/10/2023,15:18,3,3,3,4,6,5,50,0,1,53.4976389367473,-1.0447016743558177
A040512,06/07/2023,12:06,3,2,1,7,3,4,40,5,1,52.000183112550424,-1.8794119758627674
A040513,21/02/2023,13:09,2,4,1,5,5,5,20,6,2,51.95187817411719,-1.5375960045405397
A040514,21/05/2023,01:39,3,5,0,7,7,1,60,1,2,53.1778186406609,-0.058063893908153835
A040515,15/11/2023,09:14,3,5,1,8,1,4,30,9,2,50.726478131706166,-1.2833610161616655
A040516,04/02/2023,11:43,3,2,2,8,4,5,40,5,2,51.37171811151548,1.195520171866875
A040517,02/09/2023,20:41,3,1,1,4,6,7,50,0,1,53.08394448383037,1.8942276289791402
A040518,17/02/2023,07:07,3,1,3,1,5,5,70,0,2,51.14431067552489,-0.332796695281245
A040519,28/09/2023,00:41,2,3,3,8,2,5,50,7,1,49.72475465911123,-2.2292364224525394
A040520,20/11/2023,00:45,3,2,0,5,1,5,40,6,1,50.03205434606253,0.5720747952148525
A040521,22/11/2023,13:16,3,5,2,6,7,1,20,5,1,52.62565842078788,0.10745913572281038
A040522,27/10/2023,18:39,3,5,2,2,2,4,40,5,1,50.389609615802364,2.081947913673664
A040523,17/02/2023,10:28,3,2,0,8,7,4,30,7,1,53.23635000207583,-2.226107234372381
A040524,10/07/2023,14:53,3,3,0,6,7,4,60,1,1,53.041926418213265,1.0828112627577124
A040525,23/07/2023,02:33,3,2,2,5,6,1,30,0,2,50.88152437458719,-2.305505909028349
A040526,18/12/2023,17:40,3,4,3,6,6,5,40,3,1,51.09456288623079,-2.9913782279921928
A040527,20/09/2023,05:52,3,1,3,1,3,6,60,3,1,51.19388548558228,0.0413301872371937
A040528,25/07/2023,14:06,3,1,3,8,1,5,50,8,1,53.448015951537975,-0.8040962034951548
A040529,18/07/2023,01:36,2,1,0,1,6,1,20,7,1,51.75711356395742,1.6993722132164444
A040530,24/01/2023,17:04,3,5,3,2,5,7,50,0,1,52.39425332103312,2.8165494493860757
A040531,08/03/2023,23:05,3,5,0,2,7,4,40,2,2,49.976772681698854,-1.2082780074618173
A040532,15/03/2023,11:38,3,1,2,3,3,5,40,5,1,53.48845174776913,-0.15679807974556895
A040533,29/12/2023,04:31,3,2,1,5,7,6,50,6,1,53.265274176824654,2.5743726312272206
A040534,10/05/2023,02:31,3,1,1,1,2,4,20,8,2,50.18657673833357,-1.5241137792255437
A040535,28/06/2023,07:30,3,4,0,4,2,6,60,5,1,49.59207543877122,-1.2308397930416453
A040536,24/10/2023,23:26,3,3,2,8,4,7,70,7,2,52.084034377364056,1.0667615387397613
A040537,03/02/2023,23:34,3,1,0,2,1,7,30,3,2,50.05808493776706,-0.067450096213887
A040538,11/09/2023,12:54,3,4,2,1,3,5,30,5,2,53.236960867043926,-0.048903138185711376
A040539,09/10/2023,12:57,2,2,3,5,6,6,60,0,2,49.943299615332805,-2.267934140331365
A040540,08/03/2023,15:51,3,3,1,7,7,7,70,5,1,52.76995915606485,0.6556481877498831
A040541,21/01/2023,04:26,3,2,3,3,4,4,20,9,2,52.388104751729436,-1.6749654517407218
A040542,29/04/2023,02:07,3,2,3,3,6,7,40,1,2,49.518619029410516,-2.7198662036902355
A040543,15/11/2023,10:16,3,5,2,8,4,4,50,2,2,53.22984358841915,-1.3977269643957486
A040544,04/06/2023,21:13,3,3,2,4,1,1,20,9,1,49.8486540605013,-2.8585216008503562
A040545,18/02/2023,16:30,3,3,1,4,1,1,30,2,1,50.670743024252246,0.5930473715202035
A040546,13/04/2023,20:33,2,4,2,2,7,6,30,5,1,53.39173531230662,-0.6909189503897192
A040547,11/09/2023,19:21,3,1,2,8,6,6,40,0,1,51.91238216104416,1.9116932888020677
A040548,04/08/2023,13:59,3,4,3,6,1,5,40,9,1,51.13805404755199,2.3646882781513887
A040549,21/12/2023,14:52,3,1,1,4,3,1,50,6,1,52.17124588769235,-2.1507517531710194
A040550,28/12/2023,04:55,3,4,1,1,6,5,70,7,1,53.0555682400935,2.5108409583879125
A040551,01/12/2023,08:05,2,4,2,9,7,6,50,2,2,49.54554704109626,-0.9887866969827085
A040552,20/11/2023,02:56,3,4,2,9,3,6,70,8,1,49.58446750205601,2.1522863289167318
A040553,08/08/2023,18:05,3,1,2,8,3,1,50,3,2,52.3323487400167,-2.027984589783032
A040554,19/01/2023,10:58,3,4,2,5,2,1,30,8,2,50.92741892064967,-0.8861946796379544
A040555,03/06/2023,07:57,2,2,1,3,3,5,40,0,2,50.88191301030855,1.5475437180877578
A040556,23/08/2023,22:27,1,4,1,4,1,6,30,9,1,53.066927271429606,-1.9233705691824954
A040557,20/09/2023,12:57,3,3,2,3,3,6,20,5,2,51.4979351683979,-2.485608039303998
A040558,04/08/2023,04:09,3,2,1,4,3,6,70,5,2,52.326554916191085,-0.5298053841110802
A040559,28/08/2023,04:25,3,4,1,4,6,7,60,1,1,50.391666285393605,0.6263305274723129
A040560,30/04/2023,22:27,3,1,3,2,2,1,30,0,2,51.700862427813504,-1.2677211871587934
A040561,14/10/2023,09:37,3,2,0,6,1,6,60,1,2,49.59375603014083,1.4219505526122647
A040562,22/04/2023,14:04,3,1,3,9,2,1,60,3,1,53.174107623650904,0.3592624488572921
A040563,09/08/2023,16:52,1,5,1,9,1,7,40,0,2,52.02003590119375,-3.071026353703431
A040564,10/10/2023,14:31,3,4,3,6,6,5,40,1,2,52.62556550452797,0.9177490409707444
A040565,05/06/2023,16:45,2,2,1,7,3,5,60,2,2,50.388974942996626,1.3670282152867501
A040566,04/05/2023,15:58,3,4,3,2,5,4,50,1,2,53.12778023030483,-1.3368488243488976
A040567,28/06/2023,16:37,3,5,0,8,5,4,20,0,2,50.37135900919913,1.4356381251255743
A040568,26/11/2023,22:16,3,4,3,9,2,4,30,8,1,53.01525757659353,-0.9810240680206869
A040569,14/03/2023,01:03,2,5,1,6,7,1,30,6,2,50.09090809893411,2.717169399214345
A040570,08/08/2023,07:31,3,5,0,4,1,4,40,5,2,52.7129477972255,-2.221985315899999
A040571,17/09/2023,16:42,2,4,3,4,3,4,40,8,1,51.09635098085716,-0.5177790326521866
A040572,28/08/2023,03:00,3,3,3,4,5,6,30,5,1,52.63357759803144,-0.6455141002480057
A040573,26/09/2023,13:02,2,1,0,6,4,5,20,8,1,50.454174753288854,-2.743436924921144
A040574,29/07/2023,07:30,3,1,1,1,2,5,20,8,1,53.1327635343542,-1.4357314073933403
A040575,15/02/2023,21:30,1,4,1,6,3,5,50,1,1,52.648800754000995,2.1920578672984905
A040576,15/02/2023,02:32,3,4,1,1,3,1,40,8,2,52.07340385924434,-2.1809542711354895
A040577,19/12/2023,21:49,1,4,3,5,3,6,40,1,2,52.77655872573509,-1.7395825407733077
A040578,28/08/2023,21:40,3,1,1,7,4,6,70,0,2,50.93661868702086,2.6224617171456157
A040579,11/11/2023,03:20,3,3,0,2,2,7,70,7,1,52.75012794478875,1.1133283403921221
A040580,09/06/2023,04:35,3,4,2,5,7,6,50,5,2,49.622659134771254,-0.441489844951814
A040581,20/07/2023,13:02,3,5,3,8,5,1,60,9,2,53.482878779874156,1.6468832317355662
A040582,30/08/2023,07:33,3,2,0,2,7,1,30,3,1,53.12096466740881,-0.13835247239440954
A040583,19/04/2023,17:44,2,1,3,3,7,7,60,7,1,53.362597894561176,-1.6451484176142916
A040584,24/09/2023,17:51,3,4,3,3,6,7,30,2,1,52.80483797815974,0.30061596475290175
A040585,21/02/2023,04:00,3,2,1,8,3,1,70,6,2,51.72664986686378,-0.10747733307865506
A040586,12/06/2023,15:32,3,2,0,4,3,7,60,0,2,49.64430447888713,-0.45680631212159806
A040587,21/05/2023,22:31,3,4,3,1,2,5,50,5,1,49.5242030610398,0.8562678789227457
A040588,23/05/2023,10:39,3,3,2,6,1,4,30,6,2,49.876552182120214,-2.0478063113729297
A040589,05/05/2023,16:15,2,2,0,1,6,4,70,7,2,51.96429585042466,-2.236235174456424
A040590,16/03/2023,15:48,3,1,1,9,3,7,60,0,1,51.54901457644272,1.5636476380389897
A040591,22/06/2023,16:05,3,2,0,3,7,5,30,7,2,49.72602278851515,-0.07938816871953538
A040592,31/08/2023,02:08,2,2,0,7,5,5,40,2,2,49.969582264089375,-0.028660774869103817
A040593,26/02/2023,11:51,3,2,0,9,3,5,40,9,1,49.525685173454725,0.9342999937382302
A040594,27/12/2023,06:43,3,1,1,1,6,6,70,9,2,50.723006641508235,-2.040935106027941
